ID,Group,Feature_1,Feature_2,Feature_3
ID000,C,2675.3320450402807,416.88977839546607,-2264.1211581881703
ID001,B,2377.1143235060326,390.661376656709,4765.020167457564
ID002,A,2685.439492925439,413.23424600062447,6004.91003228757
ID003,C,2250.4469592779897,411.28135068896796,-1844.2215564582339
ID004,B,2181.203143218917,404.6965480822455,4355.788377661325
ID005,B,2793.5441042740827,396.1273314547376,5580.506798636889
ID006,A,2597.7416813579757,391.84592007406565,5847.442558237517
ID007,A,2139.067503023735,409.08349906316863,4357.8318974127515
ID008,C,2015.5418065028134,394.3773780688364,-1615.8799998342542
ID009,C,2424.0820967022437,404.9751489755219,-2022.9164325858135
ID010,C,2445.096798531748,399.4498675280511,-2055.368049474556
ID011,C,2234.2192366841177,397.53424389544074,-1819.0394060019028
ID012,C,2521.612421887608,388.12205798174347,-2143.117340743913
ID013,C,2497.925729088732,399.78947441930245,-2099.966140259633
ID014,A,2488.175302529012,403.19786245548636,5463.005837216318
ID015,A,2070.1587903406485,415.359557958369,4138.891778923867
ID016,C,2601.5645876909125,421.83190090942384,-2169.793225520843
ID017,A,2453.867618962928,400.1886205918029,5347.406867637893
ID018,C,2209.953394050376,389.1919510473242,-1804.5011425663288
ID019,A,2401.2689472512498,421.7264051619233,5094.44060479008
ID020,C,2166.8043373302376,395.16183810991583,-1786.3044480164774
ID021,C,2117.2082036700367,396.8499582011253,-1710.6990839560322
ID022,B,2680.6044702690897,440.943276965027,5363.451291516721
ID023,C,2511.73908136955,413.4056906591571,-2108.142975685468
ID024,A,2511.9493870338356,422.03728887214277,5436.522179583256
ID025,C,2297.40195237502,413.10554275425886,-1892.2041179597975
ID026,C,2186.8094901830905,398.24340761225966,-1797.4700247416883
ID027,B,2583.867310819977,392.7567472099274,5179.529520686018
ID028,B,2438.2614964865993,423.5888054326906,4876.117078881121
ID029,B,2297.5676483424654,399.0665681988364,4602.094631527778
ID030,A,2242.5212971221235,381.95027477773635,4823.383580201558
ID031,C,2539.214096939176,367.91953202586444,-2188.375072062495
ID032,C,2376.436088641169,392.9161724038943,-1980.142771873086
ID033,B,2398.8879415554156,388.0567360389565,4780.3007098232
ID034,C,2903.565444980887,414.08669705751396,-2512.6405101280866
ID035,A,3013.551910992205,387.6053834302197,7101.555679045849
ID036,B,2028.772523786317,375.3510912407885,4071.888865930316
ID037,A,2203.935383229892,396.44742068384204,4653.778397551775
ID038,B,3608.268699350988,368.386351996066,7209.795867207901
ID039,C,2181.824504870535,436.34081459309965,-1723.447633449711
ID040,C,2458.5322103813614,398.13626909864263,-2062.210172067669
ID041,A,2109.3149260902055,391.2959574925764,4383.760628039658
ID042,C,2147.2864651102536,397.97720919077364,-1760.052630045755
ID043,C,2624.2325001733493,402.76556654021556,-2222.5665426626497
ID044,B,2527.2077332910962,397.0382435016933,5032.182289891576
ID045,C,2388.8652643470355,401.0308403622861,-1970.240159649997
ID046,C,2543.619577944829,411.9906992234442,-2159.173858068429
ID047,B,2649.414381112497,410.3658566440503,5310.389039276278
